delay,pdf_c9_mapped_timing,pdf_c3_mapped_timing,pdf_c2_mapped_timing,pdf_c7_mapped_timing,pdf_c1_mapped_timing,pdf_c4_mapped_timing,pdf_c5_mapped_timing,pdf_c8_mapped_timing,pdf_c6_mapped_timing
4.80000000E-02,0.00009128,0.00000054,0.00378386,0.00005614,4.15417300,0.00000893,0.00000933,0.00010215,0.00002836
4.90000000E-02,0.00009123,0.00000054,0.00467475,0.00005610,4.28812100,0.00000892,0.00000932,0.00010209,0.00002835
5.00000000E-02,0.00009117,0.00000053,0.00572701,0.00005607,4.41732100,0.00000892,0.00000932,0.00010202,0.00002833
5.10000000E-02,0.00009111,0.00000053,0.00696056,0.00005604,4.54165300,0.00000892,0.00000931,0.00010195,0.00002831
5.20000000E-02,0.00009105,0.00000053,0.00839639,0.00005600,4.66102400,0.00000891,0.00000931,0.00010189,0.00002830
5.30000000E-02,0.00009100,0.00000053,0.01005651,0.00005597,4.77536900,0.00000891,0.00000930,0.00010182,0.00002828
5.40000000E-02,0.00009094,0.00000053,0.01196377,0.00005593,4.88464800,0.00000890,0.00000930,0.00010176,0.00002827
5.50000000E-02,0.00009088,0.00000053,0.01414181,0.00005590,4.98884100,0.00000890,0.00000929,0.00010169,0.00002825
5.60000000E-02,0.00009082,0.00000053,0.01661490,0.00005587,5.08795100,0.00000889,0.00000929,0.00010162,0.00002823
5.70000000E-02,0.00009076,0.00000053,0.01940784,0.00005583,5.18199600,0.00000889,0.00000928,0.00010156,0.00002822
5.80000000E-02,0.00009071,0.00000053,0.02254577,0.00005580,5.27101100,0.00000888,0.00000928,0.00010149,0.00002820
5.90000000E-02,0.00009065,0.00000053,0.02605409,0.00005576,5.35504600,0.00000888,0.00000927,0.00010143,0.00002819
6.00000000E-02,0.00009059,0.00000053,0.02995826,0.00005573,5.43416200,0.00000887,0.00000927,0.00010136,0.00002817
6.10000000E-02,0.00009054,0.00000053,0.03428371,0.00005570,5.50843300,0.00000887,0.00000926,0.00010129,0.00002815
6.20000000E-02,0.00009048,0.00000053,0.03905565,0.00005566,5.57794100,0.00000886,0.00000926,0.00010123,0.00002814
6.30000000E-02,0.00009042,0.00000053,0.04429897,0.00005563,5.64277500,0.00000886,0.00000925,0.00010116,0.00002812
6.40000000E-02,0.00009036,0.00000053,0.05003807,0.00005559,5.70303500,0.00000886,0.00000925,0.00010110,0.00002810
6.50000000E-02,0.00009031,0.00000053,0.05629673,0.00005556,5.75882400,0.00000885,0.00000924,0.00010103,0.00002809
6.60000000E-02,0.00009025,0.00000053,0.06309804,0.00005553,5.81024900,0.00000885,0.00000924,0.00010097,0.00002807
6.70000000E-02,0.00009019,0.00000053,0.07046419,0.00005549,5.85742400,0.00000884,0.00000923,0.00010090,0.00002806
6.80000000E-02,0.00009013,0.00000053,0.07841644,0.00005546,5.90046400,0.00000884,0.00000923,0.00010083,0.00002804
6.90000000E-02,0.00009008,0.00000054,0.08697497,0.00005543,5.93948800,0.00000883,0.00000922,0.00010077,0.00002802
7.00000000E-02,0.00009002,0.00000054,0.09615881,0.00005539,5.97461500,0.00000883,0.00000922,0.00010070,0.00002801
7.10000000E-02,0.00008996,0.00000055,0.10598570,0.00005536,6.00596600,0.00000882,0.00000921,0.00010064,0.00002799
7.20000000E-02,0.00008991,0.00000055,0.11647220,0.00005533,6.03366300,0.00000882,0.00000921,0.00010057,0.00002798
7.30000000E-02,0.00008985,0.00000056,0.12763330,0.00005529,6.05782800,0.00000881,0.00000920,0.00010051,0.00002796
7.40000000E-02,0.00008979,0.00000057,0.13948260,0.00005526,6.07858200,0.00000881,0.00000920,0.00010044,0.00002794
7.50000000E-02,0.00008974,0.00000059,0.15203230,0.00005523,6.09604600,0.00000881,0.00000919,0.00010038,0.00002793
7.60000000E-02,0.00008968,0.00000061,0.16529290,0.00005519,6.11034000,0.00000880,0.00000919,0.00010031,0.00002791
7.70000000E-02,0.00008962,0.00000064,0.17927370,0.00005516,6.12158200,0.00000880,0.00000919,0.00010025,0.00002790
7.80000000E-02,0.00008957,0.00000068,0.19398190,0.00005513,6.12988900,0.00000879,0.00000918,0.00010018,0.00002788
7.90000000E-02,0.00008951,0.00000073,0.20942340,0.00005509,6.13537600,0.00000879,0.00000918,0.00010012,0.00002786
8.00000000E-02,0.00008945,0.00000079,0.22560270,0.00005506,6.13815500,0.00000878,0.00000917,0.00010005,0.00002785
8.10000000E-02,0.00008940,0.00000087,0.24252230,0.00005502,6.13833900,0.00000878,0.00000917,0.00009999,0.00002783
8.20000000E-02,0.00008934,0.00000097,0.26018330,0.00005499,6.13603600,0.00000877,0.00000916,0.00009992,0.00002782
8.30000000E-02,0.00008928,0.00000109,0.27858530,0.00005496,6.13135100,0.00000877,0.00000916,0.00009986,0.00002780
8.40000000E-02,0.00008923,0.00000125,0.29772630,0.00005493,6.12438900,0.00000876,0.00000915,0.00009979,0.00002779
8.50000000E-02,0.00008917,0.00000144,0.31760290,0.00005489,6.11525000,0.00000876,0.00000915,0.00009973,0.00002777
8.60000000E-02,0.00008911,0.00000168,0.33820990,0.00005486,6.10403400,0.00000876,0.00000914,0.00009967,0.00002775
