15 15
4  1   5  13  14
4  2   6  14  15
4  1   3   7  15
4  1   2   4   8
4  2   3   5   9
4  3   4   6  10
4  4   5   7  11
4  5   6   8  12
4  6   7   9  13
4  7   8  10  14
4  8   9  11  15
4  1   9  10  12
4  2  10  11  13
4  3  11  12  14
4  4  12  13  15
4  1   3   4  12
4  2   4   5  13
4  3   5   6  14
4  4   6   7  15
4  1   5   7   8
4  2   6   8   9
4  3   7   9  10
4  4   8  10  11
4  5   9  11  12
4  6  10  12  13
4  7  11  13  14
4  8  12  14  15
4  1   9  13  15
4  1   2  10  14
4  2   3  11  15
