21 21
5 2 3 8 10 20
5 3 4 9 11 21
5 1 4 5 10 12
5 2 5 6 11 13
5 3 6 7 12 14
5 4 7 8 13 15
5 5 8 9 14 16
5 6 9 10 15 17
5 7 10 11 16 18
5 8 11 12 17 19
5 9 12 13 18 20
5 10 13 14 19 21
5 1 11 14 15 20
5 2 12 15 16 21
5 1 3 13 16 17
5 2 4 14 17 18
5 3 5 15 18 19
5 4 6 16 19 20
5 5 7 17 20 21
5 1 6 8 18 21
5 1 2 7 9 19
5 3 13 15 20 21
5 1 4 14 16 21
5 1 2 5 15 17
5 2 3 6 16 18
5 3 4 7 17 19
5 4 5 8 18 20
5 5 6 9 19 21
5 1 6 7 10 20
5 2 7 8 11 21
5 1 3 8 9 12
5 2 4 9 10 13
5 3 5 10 11 14
5 4 6 11 12 15
5 5 7 12 13 16
5 6 8 13 14 17
5 7 9 14 15 18
5 8 10 15 16 19
5 9 11 16 17 20
5 10 12 17 18 21
5 1 11 13 18 19
5 2 12 14 19 20
